계급,ge_빈도수,,impo_빈도수,,,frr,far,,,,TP임,FN이였음(FRR),FAR=FP,TN,,LR+,LR-,
1.88,4,0.11%,0,0.00%,,99.803%,0.00%,,,,7,3555,0,3525,,3420,0,
1.92,1,0.03%,0,0.00%,,99.832%,0.00%,,,,6,3557,0,3525,,3420,0,
1.96,2,0.06%,0,0.00%,,99.888%,0.00%,,,,4,3557,0,3525,,3420,0,
2,0,0.00%,0,0.00%,,99.888%,0.00%,,,,4,3558,0,3525,,3420,0,
2.04,1,0.03%,0,0.00%,,99.916%,0.00%,,,,3,3560,0,3525,,3420,0,
2.08,2,0.06%,0,0.00%,,99.972%,0.00%,,,,1,3560,0,3525,,3420,0,
2.12,0,0.00%,0,0.00%,,99.972%,0.00%,,,,1,3561,0,3525,,3420,0,
2.16,1,0.03%,0,0.00%,,100.000%,0.00%,,,,1,3561,0,3525,,3420,0,
기타,0,,,,,,,,,,,,,,,,,
,3561,,,,,,,,,,,,,,,,,
